60855600	1	1101	11010036	"060-8556"	1	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"南一条西"	"ミナミ０１ジョウニシ"						"札幌医科大学"	"サツポロイカダイガク"	"南一条西１７丁目"	
60854300	1	1101	11010036	"060-8543"	1	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"南一条西"	"ミナミ０１ジョウニシ"						"札幌医科大学付属病院"	"サツポロイカダイガクフゾクビヨウイン"	"南一条西１６丁目２９１"	
64852400	1	1101	11010042	"064-8524"	1	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"南四条西"	"ミナミ０４ジョウニシ"						"北星学園　女子短期大学"	"ホクセイガクエン　ジヨシタンキダイガク"	"南四条西１７丁目２番２号"	
2850300	1	1102	11020005	"002-8503"	1	0	"北海道"	"ホッカイドウ"	"札幌市北区"	"サッポロシキタク"	"あいの里五条"	"アイノサト０５ジョウ"						"北海道教育大学　附属図書館"	"ホツカイドウキヨウイクダイガク　フゾクトシヨカン"	"あいの里五条３丁目１−６"	
2850200	1	1102	11020005	"002-8502"	1	0	"北海道"	"ホッカイドウ"	"札幌市北区"	"サッポロシキタク"	"あいの里五条"	"アイノサト０５ジョウ"						"北海道教育大学　札幌校"	"ホツカイドウキヨウイクダイガク　サツポロコウ"	"あいの里五条３丁目１−５"	
2850100	1	1102	11020005	"002-8501"	1	0	"北海道"	"ホッカイドウ"	"札幌市北区"	"サッポロシキタク"	"あいの里五条"	"アイノサト０５ジョウ"						"北海道教育大学　本部"	"ホツカイドウキヨウイクダイガク　ホンブ"	"あいの里五条３丁目１−３"	
60858900	1	1102	11020010	"060-8589"	1	0	"北海道"	"ホッカイドウ"	"札幌市北区"	"サッポロシキタク"	"北九条西"	"キタ０９ジョウニシ"						"北海道大学　農学部"	"ホツカイドウダイガク　ノウガクブ"	"北九条西９丁目"	
60858600	1	1102	11020014	"060-8586"	1	0	"北海道"	"ホッカイドウ"	"札幌市北区"	"サッポロシキタク"	"北十三条西"	"キタ１３ジョウニシ"						"北海道大学　歯学部"	"ホツカイドウダイガク　シガクブ"	"北十三条西７丁目"	
60862800	1	1102	11020014	"060-8628"	1	0	"北海道"	"ホッカイドウ"	"札幌市北区"	"サッポロシキタク"	"北十三条西"	"キタ１３ジョウニシ"						"北海道大学大学院　工学研究科工学部"	"ホツカイドウダイガクダイガクイン　コウガクケンキユウカコウガクブ"	"北十三条西８丁目"	
60864800	1	1102	11020015	"060-8648"	1	0	"北海道"	"ホッカイドウ"	"札幌市北区"	"サッポロシキタク"	"北十四条西"	"キタ１４ジョウニシ"						"北海道大学病院"	"ホツカイドウダイガクビヨウイン"	"北十四条西５丁目"	
60863800	1	1102	11020016	"060-8638"	1	0	"北海道"	"ホッカイドウ"	"札幌市北区"	"サッポロシキタク"	"北十五条西"	"キタ１５ジョウニシ"						"北海道大学　医学部"	"ホツカイドウダイガク　イガクブ"	"北十五条西７丁目"	
65856700	1	1103	11030014	"065-8567"	1	0	"北海道"	"ホッカイドウ"	"札幌市東区"	"サッポロシヒガシク"	"北十六条東"	"キタ１６ジョウヒガシ"						"札幌大谷短期大学"	"サツポロオオタニタンキダイガク"	"北十六条東９丁目"	
62860500	1	1105	11050001	"062-8605"	1	0	"北海道"	"ホッカイドウ"	"札幌市豊平区"	"サッポロシトヨヒラク"	"旭町"	"アサヒマチ"						"北海学園大学"	"ホツカイガクエンダイガク"	"旭町４丁目"	
